clip_id,label,label_id,source,split
91,noise,2,1-155858-D-25.wav,train
92,noise,2,5-244310-A-25.wav,val
93,child,0,five.wav,train
94,noise,2,2-70280-A-18.wav,train
95,child,0,the_dog_is_on_top_of_the_shed.wav,train
96,adult,1,8297-275155-0017.flac,test
97,adult,1,1993-147149-0012.flac,train
98,adult,1,2803-161169-0005.flac,train
99,noise,2,3-108451-A-17.wav,train
100,adult,1,251-118436-0002.flac,train
101,noise,2,5-117120-A-42.wav,train
102,noise,2,3-148330-A-21.wav,test
103,noise,2,1-19501-A-7.wav,train
104,noise,2,3-158056-B-31.wav,val
105,noise,2,5-207811-A-35.wav,train
106,noise,2,5-259169-A-5.wav,train
107,child,0,the_dog_is_in_front_of_the_horse.wav,test
108,adult,1,5895-34629-0008.flac,train
109,child,0,the_horse_is_next_to_the_stable.wav,train
110,adult,1,6319-57405-0001.flac,test
111,child,0,and the dog and the boy wake up and the frog wasn't here .wav,train
112,adult,1,7850-111771-0001.flac,train
113,noise,2,2-32515-D-4.wav,val
114,adult,1,1272-135031-0005.flac,train
115,noise,2,1-80841-A-13.wav,train
116,adult,1,1988-148538-0001.flac,test
117,adult,1,5536-43358-0004.flac,test
118,noise,2,2-160128-A-7.wav,val
119,noise,2,1-27403-A-28.wav,test
120,adult,1,3576-138058-0003.flac,val
121,noise,2,1-977-A-39.wav,train
122,noise,2,2-151079-A-20.wav,train
123,noise,2,1-72229-A-6.wav,train
124,adult,1,251-137823-0012.flac,train
125,adult,1,3853-163249-0023.flac,val
126,child,0,a frog and a dog the dog is is looking at the frog .wav,train
127,noise,2,3-142604-A-24.wav,train
128,noise,2,4-99644-A-4.wav,train
129,adult,1,1462-170145-0021.flac,train
130,noise,2,5-214759-B-5.wav,train
131,noise,2,5-263831-B-6.wav,val
132,adult,1,6345-93302-0018.flac,train
133,adult,1,6313-66129-0026.flac,train
134,noise,2,2-152964-A-31.wav,train
135,noise,2,5-205589-A-17.wav,train
136,child,0,then he's like happy with the dog on his head .wav,train
137,adult,1,2277-149896-0013.flac,train
138,child,0,the_horse_is_next_to_the_stable.wav,val
139,adult,1,1988-24833-0002.flac,train
140,adult,1,251-118436-0023.flac,train
141,noise,2,2-137162-A-11.wav,train
142,noise,2,3-161010-A-43.wav,val
143,child,0,the said the dog is getting out .wav,test
144,child,0,and the girl is sleeping and the dog .wav,train
145,noise,2,1-18527-B-44.wav,train
146,noise,2,4-181286-A-10.wav,val
147,child,0,five.wav,train
148,adult,1,3752-4944-0054.flac,val
149,adult,1,6241-66616-0007.flac,train
150,noise,2,3-144827-A-11.wav,train
151,adult,1,1993-147966-0004.flac,train
152,child,0,the_fish_is_in_the_pond.wav,test
153,adult,1,2035-152373-0003.flac,test
154,adult,1,84-121550-0032.flac,val
155,child,0,the_horse_is_next_to_the_stable.wav,val
156,noise,2,5-178997-A-24.wav,train
157,adult,1,3536-8226-0023.flac,test
158,adult,1,2412-153954-0023.flac,train
159,child,0,the_dog_is_on_top_of_the_shed.wav,train
160,adult,1,84-121550-0022.flac,train
161,child,0,and they was in the water and they was wet .wav,train
162,noise,2,5-202795-A-3.wav,train
163,child,0,and and the frog didn't went to sleep .wav,test
164,child,0,the_dog_is_on_top_of_the_shed.wav,val
165,child,0,and the kid is watching  .wav,test
166,child,0,the_horse_is_behind_the_car.wav,val
167,adult,1,1919-142785-0053.flac,val
168,noise,2,2-81731-A-10.wav,train
169,child,0,the kid went to sleep and the dog went to sleep.wav,train
170,adult,1,3752-4944-0048.flac,train
171,child,0,the_horse_is_next_to_the_stable.wav,test
172,child,0,the_fish_is_in_the_pond.wav,test
173,noise,2,2-154688-A-31.wav,train
174,child,0,and the dog and the frog is getting out .wav,val
175,adult,1,2428-83699-0021.flac,train
176,child,0,the_fish_is_in_the_pond.wav,train
177,adult,1,8297-275155-0031.flac,val
178,child,0,the the little boy was on the rock .wav,train
179,child,0,the_dog_is_on_top_of_the_shed.wav,train
180,noise,2,4-198025-A-23.wav,train
181,noise,2,3-164216-C-6.wav,train
182,adult,1,2035-152373-0005.flac,val
183,child,0,and he's mad.wav,test
184,adult,1,5338-284437-0023.flac,train
185,adult,1,251-136532-0017.flac,test
186,adult,1,6345-64257-0019.flac,train
187,adult,1,1272-135031-0014.flac,train
188,adult,1,7976-110523-0016.flac,val
189,noise,2,5-169983-A-5.wav,train
190,adult,1,3081-166546-0047.flac,train
191,child,0,the boy looked out the window the dog looked out the window .wav,train
192,child,0,the_dog_is_on_top_of_the_shed.wav,train
193,child,0,they squeeze and one of them bite the boy's nose .wav,train
194,adult,1,6295-64301-0026.flac,val
195,child,0,so that he might come back .wav,train
196,adult,1,174-84280-0005.flac,val
197,adult,1,1919-142785-0030.flac,train
198,noise,2,3-164592-A-15.wav,train
199,adult,1,652-130726-0001.flac,train
200,child,0,a frog a dog and a girl .wav,train
201,noise,2,1-51436-A-17.wav,test
202,child,0,three.wav,test
203,child,0,nao.wav,train
204,child,0,and he has fallen off of the window .wav,train
205,noise,2,2-82455-A-23.wav,train
206,noise,2,3-71964-B-4.wav,train
207,adult,1,7850-73752-0010.flac,train
208,noise,2,1-172649-B-40.wav,train
209,child,0,then they looked over the log.wav,train
210,noise,2,3-124925-A-9.wav,test
211,adult,1,6345-93302-0002.flac,val
212,noise,2,4-194246-A-13.wav,train
213,child,0,the_dog_is_in_front_of_the_horse.wav,train
214,noise,2,3-154758-A-44.wav,train
215,adult,1,3752-4944-0059.flac,train
216,child,0,the little boy fell in the pond .wav,train
217,noise,2,1-40621-A-28.wav,train
218,adult,1,6241-61946-0020.flac,train
219,noise,2,4-144468-B-27.wav,train
220,child,0,nao.wav,val
221,adult,1,2078-142845-0022.flac,train
222,child,0,the_horse_is_behind_the_car.wav,val
223,adult,1,3536-8226-0002.flac,train
224,noise,2,1-137296-A-16.wav,train
225,adult,1,1272-135031-0015.flac,train
226,adult,1,7976-110523-0004.flac,train
227,adult,1,2428-83705-0042.flac,train
228,adult,1,3000-15664-0005.flac,train
229,adult,1,6313-66125-0015.flac,train
230,child,0,the_horse_is_next_to_the_stable.wav,train
231,noise,2,1-19026-A-43.wav,test
232,noise,2,3-151089-A-30.wav,train
233,adult,1,652-130726-0014.flac,train
234,noise,2,5-160614-F-48.wav,train
235,child,0,he he wake up.wav,train
236,child,0,the boy is awake the frog the dog is awake .wav,train
237,adult,1,6313-66129-0025.flac,train
238,noise,2,3-152039-A-3.wav,train
239,adult,1,777-126732-0003.flac,train
240,adult,1,3752-4944-0042.flac,train
241,adult,1,1462-170145-0016.flac,train
242,child,0,nao.wav,train
243,child,0,the_fish_is_in_the_pond.wav,train
244,adult,1,6295-64301-0027.flac,train
245,child,0,studio.wav,train
246,adult,1,2086-149220-0045.flac,val
247,child,0,the dog went out of bed .wav,train
248,child,0,the_fish_is_in_the_pond.wav,train
249,noise,2,2-106881-A-39.wav,train
250,child,0,the_fish_is_in_the_pond.wav,test
251,noise,2,1-13613-A-37.wav,train
252,child,0,the_dog_is_on_top_of_the_shed.wav,test
253,child,0,the_dog_is_in_front_of_the_horse.wav,train
254,adult,1,7976-110124-0022.flac,train
255,adult,1,652-130737-0001.flac,train
256,noise,2,4-205526-B-23.wav,train
257,child,0,the_horse_is_behind_the_car.wav,train
258,noise,2,5-254832-B-15.wav,train
259,child,0,he licks him 'cos he wanted to put the frog in   .wav,train
260,child,0,the_fish_is_in_the_pond.wav,train
261,noise,2,5-160614-D-48.wav,train
262,child,0,the dog looked in the bee house .wav,train
263,child,0,then he's like he thinks he might be in there.wav,test
264,noise,2,5-207836-A-29.wav,train
265,adult,1,2428-83699-0012.flac,train
266,child,0,the_dog_is_on_top_of_the_shed.wav,test
267,adult,1,2078-142845-0032.flac,train
268,adult,1,6319-64726-0014.flac,train
269,adult,1,3536-8226-0000.flac,val
270,adult,1,3081-166546-0081.flac,train
271,adult,1,3853-163249-0013.flac,train
272,adult,1,8297-275154-0025.flac,test
273,noise,2,2-82077-A-7.wav,val
274,noise,2,5-205898-A-40.wav,test
275,child,0,they looked again and then they found a frog .wav,train
276,adult,1,2902-9008-0004.flac,train
277,adult,1,3752-4944-0012.flac,val
278,adult,1,2078-142845-0036.flac,val
279,noise,2,3-139331-A-27.wav,val
280,child,0,when he's in water and he's like byyyyeeee .wav,train
281,noise,2,1-51170-A-18.wav,train
282,child,0,the_dog_is_in_front_of_the_horse.wav,test
283,noise,2,2-83934-B-5.wav,train
284,noise,2,4-187384-A-34.wav,train
285,child,0,the bottle and it was in there .wav,train
286,adult,1,2428-83699-0037.flac,test
287,adult,1,7850-281318-0011.flac,train
288,adult,1,652-130726-0010.flac,train
289,adult,1,6241-61943-0022.flac,train
290,child,0,the_horse_is_next_to_the_stable.wav,train
291,child,0,when they see the frog out the jar .wav,test
292,child,0,and then they shouted where is the frog .wav,train
293,adult,1,6295-244435-0032.flac,train
294,child,0,and bees come out of the hive.wav,train
295,adult,1,5536-43359-0015.flac,test
296,noise,2,3-141240-B-44.wav,train
297,adult,1,2035-147960-0007.flac,train
298,child,0,the_horse_is_behind_the_car.wav,train
299,adult,1,3752-4944-0053.flac,train
300,child,0,the boy is saying where are you frog.wav,train
301,noise,2,1-15689-A-4.wav,train
302,adult,1,5338-24640-0004.flac,train
303,adult,1,3170-137482-0044.flac,train
304,child,0,ten.wav,test
305,child,0,the_fish_is_in_the_pond.wav,train
306,noise,2,5-198891-C-8.wav,train
307,adult,1,1272-135031-0010.flac,train
308,adult,1,6345-93306-0007.flac,train
309,adult,1,5338-24615-0003.flac,train
310,child,0,the_horse_is_behind_the_car.wav,train
311,adult,1,5338-284437-0030.flac,train
312,child,0,the boy fell off the tree .wav,test
313,noise,2,1-88409-B-45.wav,train
314,noise,2,3-117883-A-37.wav,train
315,adult,1,5895-34622-0003.flac,train
316,noise,2,5-188606-A-33.wav,test
317,noise,2,5-243459-A-14.wav,test
318,adult,1,2078-142845-0003.flac,test
319,adult,1,2412-153948-0001.flac,test
320,noise,2,3-155583-A-14.wav,train
321,child,0,then the deer throwed him off into water.wav,val
322,child,0,the little boy and the dog was looking for the frog .wav,train
323,noise,2,5-117773-A-16.wav,train
324,child,0,and there wasn't the dog .wav,val
325,child,0,and the boy is looking at it .wav,val
326,adult,1,7976-105575-0012.flac,val
327,adult,1,1462-170145-0001.flac,train
328,child,0,the_horse_is_next_to_the_stable.wav,train
329,child,0,the dog was sniffing in.wav,train
330,child,0,and they found little frogs.wav,train
331,noise,2,1-76831-D-42.wav,train
332,adult,1,5895-34615-0002.flac,train
333,adult,1,5536-43358-0010.flac,train
334,adult,1,6295-244435-0040.flac,train
335,adult,1,3853-163249-0007.flac,train
336,adult,1,5338-24615-0006.flac,train
337,child,0,the frog is sneaking out of the jar .wav,val
338,child,0,the boy climbed the tree to have a look .wav,train
339,adult,1,3536-23268-0016.flac,train
340,noise,2,4-163609-B-16.wav,train
341,noise,2,5-187201-B-4.wav,train
342,adult,1,84-121550-0034.flac,train
343,child,0,studio.wav,train
344,adult,1,5536-43358-0009.flac,val
345,noise,2,2-196688-A-8.wav,train
346,noise,2,4-173865-A-9.wav,train
347,adult,1,2277-149897-0023.flac,train
348,child,0,the_dog_is_on_top_of_the_shed.wav,train
349,adult,1,8842-302201-0002.flac,val
350,adult,1,2035-147961-0039.flac,test
351,child,0,because he can't find the frog.wav,train
352,child,0,seven.wav,train
353,adult,1,3752-4944-0040.flac,train
354,child,0,they are looking at the frogs.wav,train
355,child,0,the_dog_is_on_top_of_the_shed.wav,train
356,noise,2,2-82367-A-10.wav,train
357,adult,1,6295-64301-0013.flac,train
358,child,0,and they spit out up a water .wav,train
359,adult,1,1988-147956-0010.flac,train
360,noise,2,5-216131-A-32.wav,train
361,noise,2,4-171823-A-13.wav,train
362,adult,1,3853-163249-0001.flac,train
363,adult,1,3536-23268-0019.flac,train
364,noise,2,4-166661-A-10.wav,train
365,noise,2,1-47923-A-28.wav,train
366,child,0,the_horse_is_behind_the_car.wav,train
367,adult,1,3853-163249-0049.flac,train
368,noise,2,2-96063-A-37.wav,train
369,adult,1,2412-153954-0019.flac,val
370,adult,1,1272-135031-0003.flac,train
371,noise,2,1-46744-A-36.wav,train
372,noise,2,2-96904-A-27.wav,test
373,noise,2,3-98771-A-18.wav,test
374,adult,1,1988-147956-0029.flac,train
375,noise,2,2-42101-A-43.wav,train
376,noise,2,5-179860-A-43.wav,train
377,adult,1,2412-153948-0015.flac,train
378,child,0,they look in the boot .wav,train
379,adult,1,1272-135031-0004.flac,train
380,noise,2,4-223127-A-14.wav,train
381,noise,2,2-87799-A-24.wav,val
382,child,0,when the kid and the dog is asleep.wav,val
383,adult,1,6241-66616-0001.flac,train
384,noise,2,3-161500-A-17.wav,train
385,adult,1,3536-23268-0026.flac,train
386,adult,1,8297-275155-0016.flac,val
387,adult,1,84-121550-0024.flac,val
388,child,0,the frog is getting out of the jar .wav,train
389,child,0,then the rat looked at the dog .wav,test
390,adult,1,6345-93306-0000.flac,test
391,adult,1,6313-76958-0026.flac,train
392,noise,2,3-62878-B-42.wav,train
393,child,0,and the dog looked into the hive .wav,train
394,noise,2,4-99644-C-4.wav,train
395,noise,2,5-156999-B-19.wav,test
396,child,0,and he hides from the owl or vulture.wav,train
397,adult,1,84-121550-0035.flac,train
398,child,0,the_horse_is_next_to_the_stable.wav,train
399,noise,2,3-145382-A-1.wav,train
400,adult,1,2078-142845-0026.flac,test
401,noise,2,4-154443-A-24.wav,train
402,noise,2,1-84704-A-39.wav,train
403,noise,2,5-198411-B-20.wav,train
404,adult,1,1988-24833-0022.flac,train
405,adult,1,6313-66129-0008.flac,train
406,child,0,the the the boy and the dog are looking at a frog in a jar .wav,train
407,adult,1,2428-83699-0015.flac,val
408,child,0,the_horse_is_next_to_the_stable.wav,val
409,noise,2,1-36929-A-47.wav,train
410,child,0,and the owl was sitting in the tree .wav,train
411,child,0,the_horse_is_next_to_the_stable.wav,val
412,child,0,four.wav,val
413,noise,2,4-188003-A-34.wav,test
414,child,0,and get the dog and he was angry.wav,train
415,child,0,six.wav,test
416,child,0,the_dog_is_on_top_of_the_shed.wav,val
417,noise,2,2-102414-A-17.wav,train
418,noise,2,4-125072-B-19.wav,test
419,child,0,the_horse_is_next_to_the_stable.wav,train
420,noise,2,5-197121-B-45.wav,train
421,adult,1,6345-93306-0021.flac,test
422,adult,1,1919-142785-0007.flac,val
423,adult,1,2078-142845-0011.flac,test
424,noise,2,3-151212-A-24.wav,val
425,child,0,the dog was on the boys head.wav,train
426,noise,2,2-108767-A-9.wav,train
427,noise,2,2-59321-A-49.wav,train
428,child,0,then he's calling out to the frog .wav,train
429,adult,1,3752-4944-0057.flac,train
430,noise,2,4-201800-A-31.wav,train
431,noise,2,2-250710-A-39.wav,train
432,adult,1,6319-275224-0016.flac,val
433,adult,1,652-130737-0008.flac,train
434,child,0,the deer was looking .wav,train
435,child,0,and then all of the frogs was looking.wav,train
436,adult,1,1272-141231-0032.flac,train
437,adult,1,1272-135031-0021.flac,val
438,adult,1,5338-284437-0015.flac,train
439,noise,2,4-186962-A-44.wav,test
440,child,0,eight.wav,train
441,adult,1,6295-64301-0005.flac,train
442,noise,2,1-9886-A-49.wav,train
443,child,0,the_dog_is_in_front_of_the_horse.wav,train
444,noise,2,4-159426-A-9.wav,test
445,adult,1,2428-83705-0040.flac,test
446,child,0,and and and he's looking at the window around him too.wav,train
447,adult,1,3170-137482-0024.flac,train
448,adult,1,2035-152373-0012.flac,train
449,noise,2,5-198278-B-7.wav,test
450,child,0,nao.wav,train
451,adult,1,2412-153954-0002.flac,train
452,noise,2,5-200329-A-8.wav,val
453,child,0,the_fish_is_in_the_pond.wav,train
454,noise,2,2-122763-A-29.wav,train
455,noise,2,3-171012-A-38.wav,val
456,child,0,the_dog_is_on_top_of_the_shed.wav,val
457,child,0,and the frog got looking at them .wav,train
458,noise,2,1-181071-B-40.wav,test
459,adult,1,5338-24615-0004.flac,train
460,noise,2,2-134700-A-38.wav,test
461,child,0,the_dog_is_on_top_of_the_shed.wav,train
462,noise,2,1-50661-A-44.wav,train
463,noise,2,2-173618-A-39.wav,train
464,child,0,the_horse_is_next_to_the_stable.wav,train
465,adult,1,2803-161169-0014.flac,train
466,child,0,the_dog_is_in_front_of_the_horse.wav,val
467,adult,1,8842-302196-0001.flac,train
468,child,0,the_dog_is_in_front_of_the_horse.wav,train
469,noise,2,3-160119-A-15.wav,val
470,child,0,and the dog fell out of the window .wav,test
471,adult,1,2803-154328-0002.flac,train
472,child,0,the_fish_is_in_the_pond.wav,train
473,noise,2,1-46274-A-18.wav,train
474,noise,2,3-144106-A-32.wav,train
475,child,0,the_dog_is_on_top_of_the_shed.wav,val
476,noise,2,4-216349-A-34.wav,val
477,adult,1,84-121123-0018.flac,train
478,child,0,he was searching for him everywhere .wav,train
479,noise,2,3-249913-A-25.wav,val
480,adult,1,1988-147956-0001.flac,val
481,child,0,and then the boy was climbing up the tree .wav,train
482,child,0,the dog and and and the boy is looking at the frog .wav,test
483,child,0,nine.wav,train
484,child,0,the_dog_is_on_top_of_the_shed.wav,train
485,adult,1,6319-64726-0010.flac,train
486,child,0,nine.wav,train
487,adult,1,2428-83705-0043.flac,test
488,noise,2,1-51805-E-33.wav,test
489,noise,2,5-231551-A-36.wav,train
490,noise,2,4-136381-A-9.wav,test
491,noise,2,1-50625-A-17.wav,val
492,adult,1,6319-275224-0014.flac,test
493,child,0,the_dog_is_in_front_of_the_horse.wav,test
494,adult,1,251-136532-0014.flac,test
495,child,0,the boy is holding the dog and the dog is licking the boy.wav,val
496,noise,2,5-172299-A-5.wav,val
497,child,0,and then there no no frog .wav,train
498,adult,1,7850-281318-0003.flac,train
499,adult,1,7850-286674-0015.flac,val
500,adult,1,2803-154328-0020.flac,train
501,child,0,the_fish_is_in_the_pond.wav,train
502,child,0,and then the little boy was running away .wav,train
503,noise,2,5-248341-B-6.wav,train
504,noise,2,3-95695-B-5.wav,train
505,child,0,studio.wav,train
506,adult,1,5895-34622-0023.flac,train
507,noise,2,1-96950-B-9.wav,test
508,noise,2,5-254832-A-15.wav,train
509,noise,2,5-222894-A-32.wav,train
510,adult,1,2035-147961-0021.flac,train
511,child,0,port.wav,test
512,child,0,and then he found a dog .wav,train
513,noise,2,3-155312-A-0.wav,test
514,noise,2,1-85168-A-39.wav,train
515,child,0,the_dog_is_in_front_of_the_horse.wav,train
516,adult,1,2086-149214-0001.flac,val
517,adult,1,7976-110124-0000.flac,test
518,child,0,the boy holded the dog .wav,test
519,adult,1,5694-64025-0021.flac,train
520,adult,1,3752-4944-0065.flac,train
521,adult,1,3081-166546-0030.flac,train
522,adult,1,6313-76958-0024.flac,train
523,child,0,and all the bees are going like that and he's frightened.wav,train
524,noise,2,1-39923-A-1.wav,train
525,adult,1,6295-64301-0024.flac,test
526,child,0,and they are looking at the frog .wav,train
527,child,0,they look for the frog outside .wav,train
528,noise,2,5-160551-A-42.wav,train
529,child,0,cause he thinks they are going to sting him .wav,train
530,adult,1,6241-66616-0009.flac,train
531,child,0,studio.wav,val
532,noise,2,3-142005-A-10.wav,train
533,noise,2,3-130330-A-22.wav,train
534,child,0,the_horse_is_behind_the_car.wav,train
535,child,0,the kid shout on the the the witch hat .wav,train
536,child,0,uhh he's looking at it.wav,train
537,child,0,and then lots of baby frogs came out .wav,train
538,child,0,the what is that_.wav,train
539,adult,1,1919-142785-0019.flac,test
540,child,0,the_dog_is_on_top_of_the_shed.wav,train
541,child,0,the_dog_is_on_top_of_the_shed.wav,train
542,child,0,and he's trying to find the dog .wav,train
543,child,0,and the kid wake up when the dog wake up .wav,train
544,adult,1,3081-166546-0057.flac,train
545,adult,1,1272-135031-0016.flac,val
546,noise,2,2-158746-A-2.wav,val
547,child,0,the_dog_is_in_front_of_the_horse.wav,train
548,child,0,the boy is mad.wav,train
549,noise,2,5-191131-A-40.wav,train
550,adult,1,3170-137482-0008.flac,test
551,noise,2,2-209474-A-25.wav,train
552,child,0,and the dog wake up and the frog is gone .wav,train
553,child,0,studio.wav,val
554,noise,2,4-187769-B-14.wav,train
555,child,0,no it's a deer yeah.wav,val
556,noise,2,3-96606-A-49.wav,train
557,noise,2,5-204114-A-29.wav,test
558,noise,2,3-170383-A-38.wav,train
559,adult,1,174-168635-0009.flac,test
560,noise,2,3-149189-A-1.wav,train
561,noise,2,1-81001-A-30.wav,train
562,child,0,studio.wav,val
563,adult,1,1988-147956-0015.flac,train
564,child,0,the_horse_is_behind_the_car.wav,test
565,noise,2,1-19111-A-24.wav,val
566,adult,1,5536-43359-0008.flac,train
567,noise,2,3-127890-A-9.wav,train
568,child,0,the_fish_is_in_the_pond.wav,test
569,adult,1,3752-4943-0028.flac,train
570,adult,1,6295-244435-0039.flac,train
571,adult,1,6345-93302-0014.flac,train
572,noise,2,1-57163-A-38.wav,train
573,noise,2,5-203739-A-10.wav,val
574,adult,1,422-122949-0030.flac,train
575,adult,1,8842-302201-0004.flac,train
576,child,0,then the bee's nest falls .wav,train
577,adult,1,1462-170145-0000.flac,train
578,noise,2,3-154781-A-32.wav,test
579,adult,1,1993-147964-0010.flac,train
580,child,0,the_horse_is_next_to_the_stable.wav,train
581,adult,1,1462-170138-0023.flac,train
582,adult,1,2035-152373-0011.flac,train
583,noise,2,1-40967-A-28.wav,train
584,child,0,the little boy was sleeping.wav,train
585,noise,2,3-169907-A-29.wav,train
586,noise,2,3-51731-B-42.wav,train
587,adult,1,6345-64257-0003.flac,val
588,adult,1,6295-64301-0020.flac,train
589,noise,2,4-251645-A-49.wav,val
590,noise,2,2-70936-A-42.wav,test
591,child,0,the_horse_is_behind_the_car.wav,train
592,adult,1,1673-143397-0013.flac,train
593,adult,1,6345-93302-0020.flac,train
594,noise,2,3-103597-A-25.wav,test
595,noise,2,3-180256-A-0.wav,train
596,child,0,the dog is look smelling .wav,train
597,child,0,the dog the frog isn't in the jar .wav,train
598,adult,1,174-50561-0008.flac,train
599,adult,1,777-126732-0073.flac,train
600,noise,2,1-12653-A-15.wav,train
601,noise,2,5-216368-A-28.wav,train
602,child,0,and and the girl looked at him .wav,train
603,adult,1,174-84280-0007.flac,train
604,child,0,and then he shouted on the rocks .wav,test
605,noise,2,4-164661-B-12.wav,train
606,child,0,then the dog is on top of his head well .wav,train
607,noise,2,4-181599-A-26.wav,train
608,child,0,the_dog_is_in_front_of_the_horse.wav,test
609,noise,2,1-155858-E-25.wav,train
610,noise,2,1-46272-A-12.wav,train
611,adult,1,1462-170142-0030.flac,train
612,noise,2,2-122820-B-36.wav,val
613,adult,1,7976-110124-0015.flac,train
614,noise,2,3-128160-A-44.wav,val
615,child,0,the_horse_is_behind_the_car.wav,train
616,noise,2,5-179865-A-43.wav,val
617,child,0,and then the boy came out .wav,train
618,child,0,no he's shouting out to the frog .wav,train
619,adult,1,5895-34615-0013.flac,train
620,child,0,the kid woke up so did the dog .wav,val
621,child,0,they went back through the pond .wav,train
622,child,0,the_horse_is_behind_the_car.wav,val
623,noise,2,3-132340-A-37.wav,val
624,adult,1,7976-105575-0008.flac,train
625,noise,2,2-74977-A-18.wav,test
626,child,0,and he puts a hat on.wav,train
627,child,0,the_dog_is_in_front_of_the_horse.wav,train
628,child,0,and then they are trying to find .wav,train
629,adult,1,2277-149874-0001.flac,test
630,child,0,and and he skipped out the the the bottle  .wav,train
631,child,0,the_fish_is_in_the_pond.wav,val
632,adult,1,5694-64029-0026.flac,train
633,adult,1,2035-147961-0009.flac,train
634,child,0,the_fish_is_in_the_pond.wav,train
635,child,0,and he has fallen the glass.wav,test
636,noise,2,4-185575-C-20.wav,test
637,child,0,the boy looked out the window the dog climbed out of the window .wav,train
638,noise,2,3-170851-A-31.wav,train
639,noise,2,2-99796-A-32.wav,train
640,noise,2,3-96606-B-49.wav,train
641,adult,1,3536-8226-0030.flac,test
642,child,0,uuuhhh the dog hm jumps out of the window .wav,test
